animal_name,prediction
octopus,Invertebrate
opossum,Mammal
oryx,Mammal
ostrich,Bird
ostrich,Bird
ostrich,Bird
ostrich,Bird
pike,Fish
pike,Fish
piranha,Reptile
opossum,Mammal
opossum,Mammal
oryx,Mammal
pike,Mammal
opossum,Mammal
polecat,Mammal
opossum,Mammal
oryx,Mammal
ostrich,Bird
octopus,Bug
pike,Fish
pike,Mammal
porpoise,Mammal
pike,Fish
piranha,Invertebrate
penguin,Bird
penguin,Bird
pike,Fish
pitviper,Invertebrate
pike,Fish
ostrich,Bird
opossum,Mammal
octopus,Invertebrate
pike,Fish
ostrich,Bird
octopus,Bug
